timestamp,baseline_forecast,baseline_vol,realised_var,rs_forecast,rs_vol,regime
2025-12-11 06:00:00,3.6151915608016516e-05,0.006012646306578869,5.544571475658192e-05,3.120506021250617e-05,0.005586148960823205,0
2025-12-11 07:00:00,3.948154524829058e-05,0.0062834341922463535,0.00012169872300658653,3.474650319288886e-05,0.005894616458505919,0
2025-12-11 08:00:00,5.25453256846129e-05,0.007248815467689386,1.514258283142253e-05,4.908215689238257e-05,0.007005865891692659,0
2025-12-11 09:00:00,4.6810048310894755e-05,0.006841786923815645,1.1351252846831422e-05,4.154794239118083e-05,0.0064457693405194725,0
2025-12-11 10:00:00,4.1464012584305046e-05,0.006439255592403911,6.782514628994162e-06,3.504644661408605e-05,0.005920003936999201,0
2025-12-11 11:00:00,3.631990200527919e-05,0.006026599539149685,3.303466161359718e-06,2.920917961645236e-05,0.005404551749817218,0
2025-12-11 12:00:00,3.151270312780034e-05,0.005613617650659897,3.3929591545801494e-08,2.4077264732979103e-05,0.00490685894773623,0
2025-12-11 13:00:00,2.7017497043350006e-05,0.0051978358038081585,5.676161294296518e-09,1.9528574647210997e-05,0.0044191146904341595,0
2025-12-11 14:00:00,2.3285060312578775e-05,0.00482545959599485,1.1045251522752355e-05,1.5998904041109238e-05,0.003999863002792626,0
2025-12-11 15:00:00,2.1906272711029506e-05,0.0046804137328904484,2.90564685051039e-06,1.5195254467609698e-05,0.0038981090887261864,0
2025-12-11 16:00:00,1.9497077594674585e-05,0.004415549523521912,6.8305446936787814e-09,1.3148434522803433e-05,0.003626077015564263,0
2025-12-11 17:00:00,1.7048273412367474e-05,0.004128955486847427,3.217190538519706e-07,1.1055209033501688e-05,0.0033249374480584875,0
2025-12-11 18:00:00,1.5066353501047048e-05,0.0038815400939636122,8.255374542233721e-06,9.488284713590545e-06,0.003080305944803299,0
2025-12-11 19:00:00,1.4656362352039629e-05,0.003828362881446798,9.440774582772695e-07,9.662142037411836e-06,0.00310839862910339,0
2025-12-11 20:00:00,1.3179428997349263e-05,0.003630348330029677,1.5427721390669187e-06,8.517699155969119e-06,0.002918509749164652,0
2025-12-11 21:00:00,1.2047650155558315e-05,0.003470972508614598,5.8565596602678887e-05,7.735629421320553e-06,0.002781299951698945,0
2025-12-11 22:00:00,1.997611627170568e-05,0.004469464875318485,3.0910110106226756e-05,1.7106157339473537e-05,0.004135959059211484,0
2025-12-11 23:00:00,2.2251041802155803e-05,0.004717100995543322,1.0285975143028594e-05,1.9528749185019323e-05,0.004419134438441461,0
2025-12-12 00:00:00,2.0930654251974152e-05,0.004575003196935949,7.252940290335514e-05,1.7797649996050367e-05,0.004218726110575367,0
2025-12-12 01:00:00,2.951450788680341e-05,0.005432725640670934,5.809706065100642e-07,2.7346167252691974e-05,0.005229356294295884,0
2025-12-12 02:00:00,2.544538394971689e-05,0.005044341775664779,0.0005827566468428651,0.0005579745853092044,0.023621485671083527,1
2025-12-12 03:00:00,0.00011259946966861701,0.010611289726919014,0.00010409963282709065,8.814331704413797e-05,0.009388467236143394,2
2025-12-12 04:00:00,0.00011044809562160154,0.010509428891314768,3.095340632845694e-06,8.605652151566394e-05,0.0092766654308358,2
2025-12-12 05:00:00,9.295763557640693e-05,0.009641454017751001,1.408525210779033e-06,7.404614621077164e-05,0.008605007043040212,2
2025-12-12 06:00:00,7.818983881660666e-05,0.008842501841481666,9.810083896275893e-06,6.417323532563383e-05,0.00801081989097457,2
2025-12-12 07:00:00,6.724879890840471e-05,0.008200536501254336,1.051594821561437e-05,5.705796103644216e-05,0.00755367202335673,2
2025-12-12 08:00:00,5.828474587499313e-05,0.007634444699845112,2.954860961821876e-06,5.1383286974113193e-05,0.0071682136529342645,2
